GalaxyID_test,Mass_Host,GroupID_test,GalaxyID_V1,GalaxyID_V2,R_1,R_2,r_sep_1,r_sep_2,mu_1,mu_2,N_1,N_2,N_3
9166019,27195574272.0,28000000001318,2460840,8485274,6863.537329208124,6880.361709396296,758.6501690439541,772.5081625773532,0.392239030855204,0.8122495451306938,0,0,0
9248509,26985871360.0,28000000001373,8085137,8086782,4398.720474624844,4913.3471350522805,400.49238659508603,520.5516540627572,0.7615185750296262,1.8273677883566402,0,0,0
9364038,26556368896.0,28000000001454,15846479,17532642,2630.7296046921924,3813.071816728448,162.67766780644715,252.398235230317,3.799820420750341,1.8780440498969035,0,0,1
9366625,14667581440.0,28000000001456,10110161,17377610,5680.340713805284,8367.175972960002,640.2433399929993,692.1853209663296,1.1705246020437299,3.0401296861659013,0,0,0
13670148,56974970880.0,28000000000103,20504298,8760225,151.66442317106288,1801.339642281642,6.05534431211407,156.4316023273671,3.5978592233376143,0.6556653693896544,1,2,5
20504298,204987924480.0,28000000000103,13670148,8760225,151.66442317106288,1747.9848045553633,6.05534431211407,62.830276640684346,0.27794305944864994,0.1822376387426897,1,2,4
18253968,245056946176.0,28000000000121,18266346,20742138,1265.719385266081,4731.974940172465,52.013075119016726,153.6434224364581,0.28651390654959663,0.7753143007974346,0,1,1
18266346,70212222976.0,28000000000121,18253968,1012224,1265.719385266081,3583.190315303074,52.013075119016726,371.0318883785232,3.4902319822542234,0.21786474422307855,0,1,1
17144123,44270804992.0,28000000000590,8972408,10129998,2645.7153471063957,3122.4324829301863,311.9612813542968,342.23776549101524,0.5969965957649962,0.3817045915260325,0,0,1
17320704,61187051520.0,28000000000625,9612642,10288861,1246.5394458872563,2146.944510066322,51.986755400862485,140.39860704209678,0.39067936025952177,0.22592663997678442,0,1,2
17360562,34593886208.0,28000000000639,8611504,17422086,172.59899342914014,3498.113463653655,16.209587988630563,378.9094661325106,0.7383642681374458,1.0349177038028372,1,1,1
8611504,25542889472.0,28000000000639,17360562,17422086,172.59899342914014,3645.196257989227,16.209587988630563,288.5545309574088,1.354345061310376,1.4016356810080473,1,1,1
17418547,60118667264.0,28000000000660,18475201,8350685,3694.507044969806,7601.996360709043,281.3125176887268,553.5667092870659,0.5105371118294789,0.458889031435998,0,0,0
17478075,33518237696.0,28000000000679,10183374,10934377,1303.0742357893123,3054.069706317182,121.53991354578469,196.01690923022448,0.43704641242961845,0.3838225889046455,0,1,1
17721911,16899579904.0,28000000000746,2780928,9805592,111.51604175171148,5243.811614950561,16.657617136833125,709.1053111350975,0.7744954765947772,1.1529517139883574,1,1,1
2780928,13088648192.0,28000000000746,17721911,9805592,111.51604175171148,5259.830623609109,16.657617136833125,572.743184388215,1.2911631251827294,1.4886487382179918,1,1,1
17799611,49815617536.0,28000000000774,9394847,9143370,1590.977314057404,2540.9941695852835,121.37252098269295,181.34249690635875,0.4963964855826534,0.21786503158686849,0,1,2
8671263,20096696320.0,28000000000823,17974615,13792383,155.28215777313343,2574.4832323559467,15.614757855345102,303.4644531713145,1.218147855259028,1.1465865131806898,1,1,2
17974615,24480747520.0,28000000000823,8671263,13792383,155.28215777313343,2723.277497074362,15.614757855345102,310.4710209678529,0.8209184096025512,0.9412539768720265,1,1,2
18012948,51230150656.0,28000000000841,17647764,9958488,2801.7893747126454,2929.0350065520756,181.13113235360507,242.48797325140404,1.1429236751062035,0.38611786291288785,0,0,2
18115428,53678784512.0,28000000000890,9297858,19054212,1246.9933561707965,1962.9262121235606,133.37826024233905,61.682425680816074,0.2700233541383509,5.460341916916466,0,2,7
18271268,40708001792.0,28000000000930,20058967,9054327,5748.719859219767,5823.9446204297965,226.76354782087435,306.46119495388837,3.7859297757594046,0.8341196040399349,0,0,0
8729071,23271002112.0,28000000000979,13995967,13722615,1242.0481702214838,1397.062040467521,83.91331835673884,164.90684611376707,7.279191367897719,1.547874228820834,0,3,4
18354747,32575311872.0,28000000000981,10374091,9768387,3348.6145284623894,7184.485557751892,350.46537331720293,751.0328914841693,0.43979528620612435,0.394706490931612,0,0,0
17837673,38292000768.0,28000000000792,8660832,8328197,424.89901347452553,2741.474100247575,32.094647527133475,219.422180005431,0.4071356207907616,0.3161151742720032,1,1,2
18016379,22609065984.0,28000000000842,17818556,17704711,2723.403559567761,3135.4357155138355,192.5271617717963,197.23850127143515,1.708978862697984,2.6654470553824363,0,0,1
18048736,51048005632.0,28000000000860,9325839,16030139,3843.6815697302404,5835.683613250628,381.10775025020945,471.2819281478709,0.33820970285227536,1.6356866448012226,0,0,0
18183769,54743138304.0,28000000000923,13692748,20710010,13201.251117750338,13479.304703003478,1181.5603794446683,455.4194213841276,0.41876075194477763,3.480867075135817,0,0,0
